ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,StoryTime,StoryTime Chapter 1,Expert,Single,12,Discovery,130,1931,143,4.4,110,0,0,28,0.7692,0.7971,3.93,7.47,7.54,8 (8) 32 (16) 7 (2) 31 (2) 32,130,76.52673414,16,8.5,1,0,1000,1000,363,1000,1000,2000,3000,120
2,t0ni,TranceMania 3,Expert,Single,12,The Ones We Loved (Dogzilla Remix),136,1927,168,4.94,86,0,0,41,0.5119,0.6772,2.1,6.82,7.8,31 (41) 55,130,46.09412448,13,8.5,1,200,800,1000,363,1000,1000,2000,3000,
3,Xynn,Xynn's LVTS 2,Expert,Single,12,Crazy Loop (Mm Ma Ma),133,1457,118,3.55,82,0,0,20,0.6949,0.7664,4.1,7.48,7.53,7 (4) 3 (4) 10 (2) 7 7 7 (4) 3 (4) 10 (2) 7 7 7 7,130,53.57259037,15,8.5,1,100,934,1034,410,1000,1000,2034,3034,
4,sorae,Big Waves,Expert,Single,12,I'm Coming,135,1113,98,2.9,54,0,0,15,0.551,0.7297,3.6,7.45,7.9,1 7 3 4 (8) 7 (7) 17 3 12,130,32.61555055,10,8.5,1,167,600,767,46,1000,1000,1767,2767,
5,t3a,moimoimoimoimoi,Expert,Single,12,Higanbana (Autobahn Remix),140,1784,155,4.43,89,0,0,37,0.5742,0.6544,2.41,7.23,7.44,7 7 7 7 8 (20) 3 7 7 (17) 7 7 7 7 8,140,45.15847545,12,8.5,1,334,734,1068,456,1000,1000,2068,3068,
6,Nav,Nav's Spicy Singles,Expert,Single,12,Pernicious Deed,145,1892,203,5.6,84,0,0,65,0.4138,0.5316,1.29,5.98,6.87,7 7 7 19 2 (10) 2 3 (2) 4 2 (43) 7 7 11 2 (10) 4,140,30.56435545,9,8.5,1,500,534,1034,410,1000,1000,2034,3034,
7,Janus5k,Mozee Metal,Expert,Single,12,Wastelands,146,1807,166,4.55,81,0,0,48,0.488,0.609,1.69,6.74,7.75,8 3 4 (8) 21 (4) 1 (8) 24 (7) 1 (10) 1 (4) 1 (5) 1 (2) 1 ~1~ 7 8,140,36.63301697,11,8.5,1,534,667,1201,638,1000,1000,2201,3201,
8,Okami,Lindsey Stirling,Expert,Single,12,Zi-Zi's Journey,140,1373,115,3.29,77,0,0,24,0.6696,0.7476,3.21,7.42,7.67,23 16 (24) 7 31,140,48.34611642,14,8.5,1,334,867,1201,638,1000,1000,2201,3201,
9,Rems,SlowStreamz,Expert,Single,12,The Sampling Paradise (Extended),150,2126,192,5.12,64,0,0,107,0.3333,0.3596,0.6,7.14,7.15,3 (3) 1 3 (6) 1 1 1 1 1 (3) 1 1 (16) 3 (12) 1 (6) 2 (4) 16 (9) 2 (8) 1 (8) 1 (13) 3 16 (14) 2 (5) 3,150,12.45923757,5,8.5,1,667,267,934,273,1000,1000,1934,2934,
10,Okami,StS,Expert,Single,12,Lifelight (Camellia's Hardstyle Bootleg),150,1435,151,4.03,55,0,0,55,0.3642,0.4911,1,6.32,7.08,3 16 (28) 16 (22) 1 (5) 3 16,150,17.62928035,6,8.5,1,667,334,1001,365,1000,1000,2001,3001,
11,Rems,SlowStreamz,Expert,Single,12,Blood Is Pumpin' (Hard),150,1891,207,5.52,49,0,0,110,0.2367,0.3063,0.45,5.88,6.37,4 (54) 2 (2) 7 15 (7) 2 (30) 2 (2) 15 (15) 2,150,7.379573709,2,8.5,1,667,67,734,0,1000,1000,1734,2734,
12,Zaia,Eurobeat Is Fantastic,Expert,Single,12,Wheelpower & Go,156,1528,147,3.77,43,0,0,93,0.2925,0.3094,0.46,6.99,7.01,2 1 (8) 1 (3) 1 (2) 1 (15) 8 (2) 1 (3) 1 (2) 1 (15) 8 (2) 1 (3) 1 (2) 1 3 1 (11) 1 (8) 7 (12) 1 (3) 1 (2) 1,150,6.581137287,1,8.5,1,867,0,867,182,1000,1000,1867,2867,
13,Janus5k,Squirrel Metal II,Expert,Single,12,Drink,160,1612,133,3.32,62,0,0,50,0.4662,0.5536,1.24,8.46,8.87,7 (17) 16 (8) 7 (8) 1 (8) 15 (9) 16,160,24.07162559,8,8.5,1,1000,467,1467,1000,1000,1000,2467,3467,
14,Rems,Eurobeat Is Fantastic - Second Stage,Expert,Single,12,Gimme Your Desire (Hard),160,1273,116,2.9,55,0,0,38,0.4741,0.5914,1.45,7.65,8.46,7 (4) 1 (2) 1 (10) 16 (2) 7 (18) 16 (2) 7,160,23.73410185,7,8.5,1,1000,400,1400,909,1000,1000,2400,3400,
15,Arvin,Eurobeat Is Fantastic,Expert,Single,12,When the Sun Goes Down (Medium),160,1638,174,4.35,53,0,0,79,0.3046,0.4015,0.67,6.46,7.71,1 (3) 1 (16) 15 (4) 1 (3) 1 (16) 15 (4) 1 (3) 1 (15) 8 (4) 1 (3) 1 (8) 7,160,12.30758231,4,8.5,1,1000,200,1200,636,1000,1000,2200,3200,
16,ITGAlex,Hospitality,Expert,Single,12,Stay Awake (Hard),160,1114,136,3.4,47,0,0,67,0.3456,0.4123,0.7,5.67,6.12,16 (16) 15 (51) 16,160,11.38778328,3,8.5,1,1000,134,1134,546,1000,1000,2134,3134,
17,yutsi,yutsi-type beats,Expert,Single,13,Deep Jungle Walk,138,3478,263,7.62,198,0,0,43,0.7529,0.8082,4.6,7.97,8.09,23 (2) 15 32 (4) 22 (2) 15 15 (33) 7 23 22 (2) 24,130,140.8300534,20,26.5,1,140,1000,1140,805,2000,1000,3140,4140,
18,Rems,SlowStreamz,Expert,Single,13,Alone Tonight (Ronski Speed Remix),138,3305,253,7.33,190,0,0,39,0.751,0.819,4.87,7.69,7.94,31 72 (24) 7 32 (15) 32 16,130,138.0409196,19,26.5,1,140,948,1088,723,2000,1000,3088,4088,
19,Fietsemaker,SlowStreamz,Expert,Single,13,No Shields,132,2290,172,5.21,135,0,0,9,0.7849,0.8766,15,8.23,8.18,15 7 7 6 (2) 7 15 (5) 5 15 6 (2) 15 7 6 8 16,130,109.349327,18,26.5,1,0,895,895,418,2000,1000,2895,3895,
20,Tuuc,The Starter Pack of Stamina,Expert,Single,13,March of the ants,134,1652,115,3.43,101,0,0,0,0.8783,0.9902,0,8.62,8.89,64 37,130,99.42098212,16,26.5,1,47,790,837,327,2000,1000,2837,3837,
21,Okami,SlowStreamz,Expert,Single,13,Sa'eed,145,2881,240,6.62,153,0,0,64,0.6375,0.6955,2.39,7.38,7.71,15 7 6 (2) 39 (17) 15 (17) 32 (28) 7 32,140,85.57892873,14,26.5,1,303,685,988,565,2000,1000,2988,3988,
22,Archi,Pendulum Act III,Expert,Single,13,Set Me On Fire (Novice),140,2391,178,5.09,142,0,0,25,0.7978,0.8402,5.68,8.11,8.22,7 8 (6) 1 79 (19) 47,140,107.4733108,17,26.5,1,187,843,1030,631,2000,1000,3030,4030,
23,Okami,StS,Expert,Single,13,Virtual Pilgrim,148,2146,156,4.22,119,0,0,0,0.7628,0.8623,0,8.76,9.31,1 3 3 3 3 3 3 7 7 15 7 7 15 3 3 3 11 7 7 8,140,93.88590115,15,26.5,1,373,737,1110,758,2000,1000,3110,4110,
24,Rems,Eurobeat Is Fantastic,Expert,Single,13,Switch !,140,2259,176,5.03,117,0,0,24,0.6648,0.7905,4.88,7.84,8.35,7 15 15 7 15 15 15 (8) 1 (16) 15 12,140,80.32095446,13,26.5,1,187,632,819,299,2000,1000,2819,3819,
25,Okami,Team Grimoire,Expert,Single,13,Aphasia,155,2057,150,3.98,97,0,0,42,0.6467,0.6736,2.31,8.91,8.86,41 (31) 9 (8) 32 1 1 1 1 1 (3) 10,150,51.54838457,11,26.5,1,535,527,1062,682,2000,1000,3062,4062,
26,Arvin & Rems,Eurobeat Is Fantastic,Expert,Single,13,Deja Vu,154,1996,159,4.13,94,0,0,40,0.5912,0.6763,2.35,8.32,8.76,1 6 (2) 7 7 7 (2) 7 (2) 6 (2) 7 7 7 (2) 7 (2) 6 (16) 1 (10) 7 (2) 11,150,50.27486042,10,26.5,1,512,474,986,562,2000,1000,2986,3986,
27,Okami,Cytus II,Expert,Single,13,CHAOS,150,1732,135,3.71,91,0,0,30,0.6741,0.7339,3.03,8.29,8.67,8 (16) 3 4 (5) 1 (2) 7 4 (4) 31 (3) 1 32,150,55.47028697,12,26.5,1,419,579,998,581,2000,1000,2998,3998,
28,Kyy,Hardbass Madness,Expert,Single,13,Louder,150,2021,165,4.4,86,0,0,57,0.5212,0.5772,1.51,7.75,7.92,1 7 7 7 (11) 1 (23) 1 23 (23) 1 31 7,150,35.69608336,5,26.5,1,419,211,630,0,2000,1000,2630,3630,
29,StoryTime,Jayrocking,Expert,Single,13,Uh...Man,162,1890,153,3.78,91,0,0,50,0.5948,0.6408,1.82,8.62,8.8,4 (7) 17 (7) 15 (8) 3 3 (8) 15 (8) 8 (3) 1 (5) 22 (4) 3,160,44.64752583,8,26.5,1,698,369,1067,690,2000,1000,3067,4067,
30,StarrySergal,itg! Rhythm is just a step away,Expert,Single,13,Fright March,160,1280,109,2.72,68,0,0,16,0.6239,0.7907,4.25,8.28,9.16,7 (7) 1 17 (7) 6 (2) 25 12,160,46.70116287,9,26.5,1,652,422,1074,701,2000,1000,3074,4074,
31,Aoreo,System of a Down,Expert,Single,13,P.L.U.C.K. (Medium),165,1520,141,3.42,67,0,0,25,0.4752,0.6505,2.68,7.68,8.49,1 1 1 1 1 1 1 1 8 (4) 31 (17) 1 1 1 10 (4) 7,160,33.67212183,3,26.5,1,768,106,874,385,2000,1000,2874,3874,
32,Zaia,Eurobeat Is Fantastic,Expert,Single,13,The Top,160,1457,129,3.22,62,0,0,31,0.4806,0.6019,2,7.65,8.26,3 3 3 3 7 (13) 3 3 3 7 7 (9) 3 3 (9) 7 7,160,27.51887267,2,26.5,1,652,53,705,119,2000,1000,2705,3705,
33,Rems,Comiket 95,Expert,Single,13,Timeleap,165,2023,171,4.23,86,0,0,44,0.5029,0.6232,1.95,8.11,8.67,1 3 3 (2) 2 4 (14) 15 16 (16) 2 (2) 4 3 6 (2) 7 8 (8) 3 3 3 3,170,40.35546563,7,26.5,1,768,316,1084,717,2000,1000,3084,4084,
34,ITGAlex,Bass Chasers,Expert,Single,13,Alphaseeker,170,1194,139,3.27,66,0,0,29,0.4748,0.6804,2.28,7.29,8.24,17 15 (29) 19 15,170,35.64239045,4,26.5,1,884,158,1042,650,2000,1000,3042,4042,
35,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,13,Sakura Fubuki (Ata Remix),175,1237,124,2.83,63,0,0,22,0.5081,0.7159,2.86,7.91,9.55,15 7 7 3 (3) 1 (16) 13 (3) 17,170,36.90662477,6,26.5,1,1000,264,1264,1000,2000,1000,3264,4264,
36,StoryTime,Hospitality,Expert,Single,13,Come & Get It,174,1267,132,3.03,57,0,0,39,0.4318,0.5534,1.46,7.65,8.37,8 7 7 7 7 7 (39) 1 7 6,170,22.11757473,1,26.5,1,977,0,977,548,2000,1000,2977,3977,
37,Xynn,Xynn's LVTS 2,Expert,Single,14,Eskimo & Icebird Megamix,140,8302,643,18.37,461,0,0,164,0.717,0.7317,2.81,7.59,7.63,6 (2) 16 (8) 8 (4) 3 6 (2) 16 (2) 16 (16) 15 (17) 23 (9) 7 (9) 23 15 (17) 8 (12) 20 (8) 12 (2) 18 (8) 16 (12) 3 24 (8) 36 (12) 3 31 (8) 8 48 (8) 80,140,279.6622281,21,47,1,0,1000,1000,286,3000,1000,4000,5000,
38,Okami,SlowStreamz,Expert,Single,14,Dreamenddischarger,140,4638,328,9.37,277,0,0,42,0.8445,0.8602,6.6,8.4,8.39,88 24 (18) 1 (2) 14 (2) 87 (2) 23 (18) 2 15 23,140,217.6901959,20,47,1,0,950,950,143,3000,1000,3950,4950,
