ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,@@,Big Waves,Expert,Single,17,Sukure,175,5266,356,8.14,319,0,0,17,0.8961,0.9088,18.76,10.94,10.91,15 15 15 23 31 25 1 1 1 1 1 1 1 63 47 (17) 1 77,170,273.7410901,13,7.5,1,0,924,924,494,1000,1000,1924,2924,84
2,Sefirot,The Joy of Streaming,Expert,Single,17,Exelion FB 178,178,4091,274,6.16,253,0,0,17,0.9234,0.9336,14.88,11.2,11.16,63 (17) 79 111,170,226.6615582,12,7.5,1,79,847,926,499,1000,1000,1926,2926,
3,Chief Skittles,Skittles Stream Collection,Expert,Single,17,The Star of Collapse Acts I & II,183,4447,318,6.98,261,0,0,38,0.8208,0.8729,6.87,11.3,11.32,144 (24) 106 (14) 11,180,209.9827876,10,7.5,1,211,693,904,442,1000,1000,1904,2904,
4,ITGAlex,ITGAlex's Stamina Singles ep.1,Expert,Single,17,Extends Levant,180,4174,292,6.48,243,0,0,18,0.8322,0.924,13.5,10.93,11.44,15 107 53 (16) 11 (2) 57,180,214.1319281,11,7.5,1,132,770,902,437,1000,1000,1902,2902,
5,yutsi,yutsi-type beats,Expert,Single,17,Terminal Slam,180,3273,227,5.04,192,0,0,0,0.8458,1,0,11.37,12.01,192,180,192,9,7.5,1,132,616,748,39,1000,1000,1748,2748,
6,Archi,Big Waves,Expert,Single,17,Denjin K Megamix (Restep),178,14147,1146,26.51,794,0,0,292,0.6928,0.7153,2.72,8.99,9.12,1 (19) 7 7 24 14 4 (59) 9 (4) 32 (8) 96 (16) 72 (14) 54 (3) 48 12 (8) 4 7 3 (4) 4 7 3 (4) 15 12 (8) 4 7 3 (4) 4 7 3 (4) 4 26 (8) 1 (49) 7 8 48 (28) 1 1 3 1 1 47 (2) 7 (3) 15 23 (17) 40 8 (16) 56 (14) 34,190,464.5170534,14,7.5,1,79,1000,1079,895,1000,1000,2079,3079,
7,Rems,BaguetteStreamz 2,Expert,Single,17,Strawberry Crisis !,190,2675,171,3.6,164,0,0,2,0.9591,0.9762,82,12.53,12.56,19 (2) 39 23 83,190,157.7996128,8,7.5,1,395,539,934,520,1000,1000,1934,2934,
8,StarrySergal,Goreshit 2020,Expert,Single,17,fleshbound,197,3086,309,6.27,159,0,0,74,0.5146,0.6709,2.15,9.42,10.17,32 (17) 1 (2) 14 (2) 16 31 (19) 1 1 16 15 (34) 32,190,83.95558484,3,7.5,1,579,154,733,0,1000,1000,1733,2733,
9,ITGAlex,ITGAlex's Stamina Safari,Expert,Single,17,Orca,195,2583,200,4.1,145,0,0,28,0.725,0.8192,5.18,11.28,11.6,16 (8) 7 15 31 32 (16) 14 (2) 14 (2) 15 1,190,105.3881818,5,7.5,1,527,308,835,264,1000,1000,1835,2835,
10,BasedHonk & ChasePines,The Joy of Streaming,Expert,Single,17,The Story of Mob,200,3947,324,6.48,225,0,0,83,0.6944,0.7143,2.71,10.44,10.44,15 7 15 16 (17) 6 (2) 7 (8) 7 (2) 9 21 6 (2) 6 (2) 16 (16) 7 24 (32) 1 6 (2) 56,200,131.3383507,7,7.5,1,658,462,1120,1000,1000,1000,2120,3120,
