id,name,description,properties,source,consumable,portion,value,imageurl,show,order,formula,NOTES
0,Stone Blade,A low-level blade made from stone.  Somewhat enhanced by the accuracy of your attacks.,Lv. 1 AP Bonus,0,0,0,1099,stoneblade.png,1,0,"ROUNDDOWN((AP*0.1),0)",
1,Stone Knife,A low-level knife made from stone.  Somewhat effective against fast opponents.,Lv. 1 DP Bonus,0,0,0,439,stoneknife.png,1,1,"ROUNDDOWN((DP*0.1),0)",
2,Stone Axe,A low-level axe made from stone.  Somewhat effective against large opponents.,Lv. 1 EP Bonus,0,0,0,439,stoneaxe.png,1,2,"ROUNDDOWN((EP*0.1),0)",
3,Short Bow,"A basic bow that won't impact the effectiveness of your arrows much, but will at least allow you to make use of them.",+0 BP,0,0,0,328,shortbow.png,1,3,"if(ARROW EQUIPPED,0,0)",Requires arrow
4,Stone Arrow,A low-level arrow tipped with stone.  Deals weak damage with a bow equipped.  Single use.,+125 BP with bow equipped,0,1,0,218,stonearrow.png,1,4,"if(BOW EQUIPPED,125,0)",Requires bow
5,Bronze Blade,A mid-level blade made from bronze.  Enhanced by the accuracy of your attacks.,Lv. 2 AP Bonus,0,0,0,11008,bronzeblade.png,1,5,"ROUNDDOWN((AP*0.2),0)",
6,Bronze Knife,A mid-level knife made from bronze.  Effective against fast opponents.,Lv. 2 DP Bonus,0,0,0,9245,bronzeknife.png,1,6,"ROUNDDOWN((DP*0.2),0)",
7,Bronze Axe,A mid-level axe made from bronze.  Effective against large opponents.,Lv. 2 EP Bonus,0,0,0,9245,bronzeaxe.png,1,7,"ROUNDDOWN((EP*0.2),0)",
8,Composite Bow,Bow made from a synthesis of materials to allow for improved flexibility.,+50 BP with arrow equipped,0,0,0,7924,compositebow.png,1,8,"if(ARROW EQUIPPED,50,0)",Requires arrow
9,Bronze Arrow,A mid-level arrow tipped with bronze.  Deals good damage with a bow equipped.  Single use.,+225 BP with bow equipped,0,1,0,6604,bronzearrow.png,1,9,"if(BOW EQUIPPED,225,0)",Requires bow
10,Mythril Blade,A high-level blade made from mythril.  Strongly enhanced by the accuracy of your attacks.,Lv. 3 AP Bonus,0,0,0,50642,mythrilblade.png,1,10,"ROUNDDOWN((AP*0.3),0)",
11,Mythril Knife,A high-level knife made from mythril.  Strongly effective against fast opponents.,Lv. 3 DP Bonus,0,0,0,45138,mythrilknife.png,1,11,"ROUNDDOWN((DP*0.3),0)",
12,Mythril Axe,A high-level axe made from mythril.  Strongly effective against large opponents.,Lv. 3 EP Bonus,0,0,0,45138,mythrilaxe.png,1,12,"ROUNDDOWN((EP*0.3),0)",
13,Long Bow,"A large, strong bow capable of subduing powerful monsters.",+100 BP with arrow equipped,0,0,0,39082,longbow.png,1,13,"if(ARROW EQUIPPED,100,0)",Requires arrow
