ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
1,nv & ChasePines & StarrySergal,Big Waves,Expert,Single,22,Nachmancore,225,13281,908,16.14,768,0,0,87,0.8458,0.8828,8.83,13.76,14.1,16 23 100 (4) 15 19 16 (4) 12 (8) 23 4 3 25 2 (2) 22 (2) 31 (17) 48 (3) 7 (2) 7 (8) 3 (2) 2 (3) 9 (2) 2 4 (10) 1 16 (3) 15 (3) 54 (10) 7 31 23 28 (2) 15 (2) 143 27 15,220,629.1307884,14,7.5,1,122,1000,1122,595,1000,1000,2122,3122,53
2,Nav,Big Waves,Expert,Single,22,Spacetime FB 220,220,8449,540,9.82,528,0,0,0,0.9778,1,0,14.67,14.67,528,220,528,13,7.5,1,0,924,924,29,1000,1000,1924,2924,
3,Nav,Big Waves,Expert,Single,22,Lunar Butterfly FB 227,227,7834,596,10.5,472,0,0,66,0.7919,0.8551,7.15,13.45,13.42,15 31 7 15 39 31 15 15 64 (16) 48 (2) 13 7 7 7 8 (36) 39 15 16 (8) 64 (4) 16,220,367.4252928,11,7.5,1,171,770,941,78,1000,1000,1941,2941,
4,Kyy,Kyypakkaus 2,Expert,Single,22,Sujetjas Tanjec,230,9367,718,12.49,543,0,0,135,0.7563,0.7858,4.02,12.81,12.93,17 64 (28) 3 65 (16) 15 48 (13) 2 32 (24) 3 2 (2) 31 (13) 2 (2) 8 14 11 11 14 9 (24) 10 (2) 18 (2) 28 (3) 40 6 (2) 47 16 (4) 11 16,230,369.2317756,12,7.5,1,244,847,1091,506,1000,1000,2091,3091,
5,Zaia,Cirque du Huayra,Expert,Single,22,Robot Brain Era FB 230,230,5535,396,6.68,324,0,0,33,0.8182,0.8757,9.82,14.32,14.31,12 15 14 15 (2) 7 7 7 14 16 14 43 15 (3) 13 (3) 21 28 17 (22) 30 (3) 14 22,230,262.0074074,10,7.5,1,244,693,937,66,1000,1000,1937,2937,
6,yutsi,selected yutsi works,Expert,Single,22,Ralph Wiggum,237,2690,173,2.91,168,0,0,0,0.9711,1,0,15.67,15.8,/112/,230,168,9,7.5,1,415,616,1031,335,1000,1000,2031,3031,
7,Zaia,City Pop,Expert,Single,22,Plastic Love (Night Tempo 100% Pure Remastered),240,3210,238,3.97,188,0,0,24,0.7899,0.8868,7.83,14.08,14.64,30 (2) 28 (4) 24 (6) 14 (2) 28 (4) 24 (6) 40,240,155.123982,8,7.5,1,488,539,1027,323,1000,1000,2027,3027,
8,nv,epic,Expert,Single,22,Nyan-Nyan Naughty Night,242,2156,144,2.38,132,0,0,4,0.9167,0.9706,33,15.42,15.74,52 (4) 80,240,125.8457028,7,7.5,1,537,462,999,243,1000,1000,1999,2999,
9,Aoreo,BangerZ 3,Expert,Single,22,Tragedy,248,2589,238,3.84,130,0,0,54,0.5462,0.7065,2.44,11.53,13.26,*4* (2) *6* (2) *8* (14) 1 *4* (2) *6* (2) *15* *8* (3) *6* (2) *8*,240,74.5629047,4,7.5,1,683,231,914,0,1000,1000,1914,2914,
10,Zaia,Big Waves,Expert,Single,22,Musician (mitei bootleg),256,2954,233,3.64,162,0,0,58,0.6953,0.7364,2.79,13.76,14.23,14 (2) 30 (18) 30 (2) 14 (18) 46 (18) 28,250,99.28806851,6,7.5,1,879,385,1264,1000,1000,1000,2264,3264,
11,yutsi,yutsi-type beats,Expert,Single,22,Truckers Delight (Hard),252,2391,206,3.27,140,0,0,40,0.6796,0.7778,3.5,13.07,13.65,*24* (10) *16* (10) *30*,250,93.65193128,5,7.5,1,781,308,1089,500,1000,1000,2089,3089,
12,Zaia,Content Cop - Tachyon Epsilon,Expert,Single,22,Yamada Stream,255,1679,122,1.91,95,0,0,15,0.7787,0.8407,6.33,15.38,15.62,8 16 (8) 15 16 (7) 8 32,250,71.96963186,3,7.5,1,854,154,1008,269,1000,1000,2008,3008,
13,Aoreo,BangerZ 3,Expert,Single,22,Fergalicious For Businalicious 261,261,2567,261,4.02,122,0,0,126,0.4674,0.4919,0.97,10.9,11.09,16 (32) 12 (44) 12 (4) 30 (36) 12 (4) 12 (4) 14 (2) 14,260,39.20692183,1,7.5,1,1000,0,1000,246,1000,1000,2000,3000,
14,yutsi,streammania IIDX,Expert,Single,22,Illegal Function Call (Hard),260,1550,128,1.97,92,0,0,30,0.7188,0.7541,3.07,13.76,13.75,16 (8) 16 (16) 28 (6) 32,260,58.56985281,2,7.5,1,976,77,1053,398,1000,1000,2053,3053,
15,Archi,Big Waves,Expert,Single,23,Animu Music Triad FB 230,221,24155,1700,31.68,1432,0,0,241,0.8424,0.8529,5.94,12.81,12.84,73 96 14 (22) 14 (2) 46 (2) 15 (2) 137 (2) 56 (2) 40 (17) 13 (3) 15 (13) 18 (2) 95 72 (16) 1 (23) 17 (2) 127 32 47 24 (13) 3 (2) 31 (2) 20 (7) 2 (2) 107 (2) 21 (6) 20 (10) 1 (9) 32 (2) 13 (2) 7 (19) 5 (3) 38 (2) 41 (11) 73 (38) 24 (3) 42,230,1110.145751,9,19,1,0,1000,1000,224,2000,1000,3000,4000,
16,Zaia,Big Waves,Expert,Single,23,Stars FB 237,237,6317,434,7.32,381,0,0,16,0.8779,0.9525,23.81,14.44,15.42,32 (6) 73 9 36 17 (10) 214,230,352.4592807,8,19,1,327,875,1202,1000,2000,1000,3202,4202,
